name,yom,price,origin,status,KMtraveled,color,doorNumber,seatNumber,engine,gear,fuelConsumption
 ô tô BMW X4 xDrive20i ,2017,1.299 tỉ,Nhập khẩu,Đã qua sử dụng,40000,Trắng,5,5,Số tự động,0,
 ô tô Toyota Camry 2.0E ,2018,655 triệu,Lắp ráp trong nước,Đã qua sử dụng,78000,Vàng,4,5,Số tự động,0,
 ô tô Ford Transit Tiêu chuẩn ,2023,789 triệu,Lắp ráp trong nước,Mới,0,Bạc,4,16,Số tay,0,
 ô tô Toyota Camry 2.5Q ,2013,495 triệu,Lắp ráp trong nước,Đã qua sử dụng,120000,Đen,4,5,Số tự động,0,
 ô tô Mitsubishi Attrage 1.2 CVT ,2023,457 triệu,Nhập khẩu,Mới,0,Trắng,4,5,Số tự động,0,
 ô tô Hyundai i10 1.2 AT ,2022,392 triệu,Lắp ráp trong nước,Đã qua sử dụng,10000,Đỏ,5,5,Số tự động,0,
 ô tô Toyota Fortuner 2.4G 4x2 MT ,2017,675 triệu,Nhập khẩu,Đã qua sử dụng,75000,Bạc,5,7,Số tay,0,
 ô tô Hyundai Accent 1.4 AT ,2023,465 triệu,Lắp ráp trong nước,Đã qua sử dụng,16140,Vàng,4,5,Số tự động,0,
 ô tô Kia Pride CD5 ,2002,75 triệu,Lắp ráp trong nước,Đã qua sử dụng,14000,Xanh,5,5,Số tay,0,
 ô tô Honda Brio RS ,2020,385 triệu,Nhập khẩu,Đã qua sử dụng,33000,Cam,5,5,Số tự động,0,
 ô tô Toyota Vios E CVT ,2023,495 triệu,Lắp ráp trong nước,Đã qua sử dụng,24000,Trắng,4,5,Số tự động,0,
 ô tô Mazda BT50 Deluxe 2.2L 4x2 AT ,2021,560 triệu,Nhập khẩu,Đã qua sử dụng,35000,Xanh,4,5,Số tự động,0,
 ô tô Ford Escape XLS 2.3L 4x2 AT ,2010,265 triệu,Lắp ráp trong nước,Đã qua sử dụng,110000,Bạc,5,5,Số tự động,0,
 ô tô Lexus GX 550 ,2023,5.97 tỉ,Nhập khẩu,Mới,0,Xám,5,7,Số tự động,0,
 ô tô BMW 1 Series 116i ,2013,399 triệu,Nhập khẩu,Đã qua sử dụng,72000,Xanh,5,5,Số tự động,0,
 ô tô Lexus RX 300 ,2021,2.85 tỉ,Nhập khẩu,Đã qua sử dụng,20000,Đỏ,5,5,Số tự động,0,
 ô tô Kia Cerato 2.0 AT Premium ,2021,559 triệu,Lắp ráp trong nước,Đã qua sử dụng,50000,Đỏ,4,5,Số tự động,0,
 ô tô Ford EcoSport Titanium 1.5L AT ,2016,336 triệu,Lắp ráp trong nước,Đã qua sử dụng,60000,Bạc,5,5,Số tự động,0,
 ô tô Suzuki Swift GLX 1.2 AT ,2019,448 triệu,Nhập khẩu,Đã qua sử dụng,28000,Trắng,5,5,Số tự động,0,
 ô tô Mazda 2 Sport Premium ,2020,455 triệu,Nhập khẩu,Đã qua sử dụng,9000,Trắng,5,5,Số tự động,0,
 ô tô Ford Everest Titanium 2.0L 4x2 AT ,2022,1.02 tỉ,Nhập khẩu,Đã qua sử dụng,0,Trắng,5,7,Số tự động,0,
 ô tô Mazda BT50 1.9L 4x2 AT ,2021,555 triệu,Nhập khẩu,Đã qua sử dụng,40000,Trắng,4,5,Số tự động,0,
 ô tô Mazda 2 Luxury ,2019,395 triệu,Nhập khẩu,Đã qua sử dụng,37000,Trắng,4,5,Số tự động,0,
 ô tô Chevrolet Orlando LTZ 1.8 AT ,2016,345 triệu,Lắp ráp trong nước,Đã qua sử dụng,70000,Xám,5,7,Số tự động,0,
 ô tô Toyota Camry 2.5Q ,2020,950 triệu,Nhập khẩu,Đã qua sử dụng,50000,Trắng,4,5,Số tự động,0,
 ô tô Toyota Fortuner 2.4G 4x2 AT ,2020,918 triệu,Lắp ráp trong nước,Đã qua sử dụng,43000,Đen,5,7,Số tự động,0,
 ô tô Mercedes Benz GLC 300 4Matic ,2020,1.69 tỉ,Lắp ráp trong nước,Đã qua sử dụng,48000,Đen,5,5,Số tự động,0,
 ô tô Audi A6 1.8 TFSI ,2015,890 triệu,Nhập khẩu,Đã qua sử dụng,30000,Trắng,4,5,Số tự động,0,
 ô tô Mercedes Benz GLC 200 ,2019,1.15 tỉ,Lắp ráp trong nước,Đã qua sử dụng,29000,Đen,5,5,Số tự động,0,
 ô tô Mazda 6 2.0L Premium ,2017,520 triệu,Lắp ráp trong nước,Đã qua sử dụng,47000,Xanh,4,5,Số tự động,0,
 ô tô Mitsubishi Pajero Sport 2.4D 4x4 AT ,2021,1.02 tỉ,Nhập khẩu,Đã qua sử dụng,0,Trắng,5,7,Số tự động,0,
 ô tô Mercedes Benz E class E200 Exclusive ,2022,1.919 tỉ,Lắp ráp trong nước,Đã qua sử dụng,15000,Trắng,4,5,Số tự động,0,
 ô tô Porsche Cayenne 3.6 V6 ,2014,1.59 tỉ,Nhập khẩu,Đã qua sử dụng,50000,Trắng,5,5,Số tự động,0,
 ô tô Daewoo Matiz SE 0.8 MT ,2008,42 triệu,Lắp ráp trong nước,Đã qua sử dụng,1000,Trắng,5,5,Số tay,0,
 ô tô Mercedes Benz C class C200 Avantgarde Plus ,2023,1.49 tỉ,Lắp ráp trong nước,Đã qua sử dụng,0,Đen,4,5,Số tự động,0,
 ô tô Ford Fiesta Titanium 1.5 AT ,2016,299 triệu,Lắp ráp trong nước,Đã qua sử dụng,93000,Xanh,4,5,Số tự động,0,
 ô tô Porsche Panamera 3.6 V6 ,2014,1.62 tỉ,Nhập khẩu,Đã qua sử dụng,0,Trắng,4,4,Số tự động,0,
 ô tô Toyota Vios 1.5G ,2014,350 triệu,Lắp ráp trong nước,Đã qua sử dụng,62000,Cát,4,5,Số tự động,0,
 ô tô Kia Picanto S 1.25 AT ,2013,238 triệu,Lắp ráp trong nước,Đã qua sử dụng,96000,Đỏ,5,5,Số tự động,0,
 ô tô Mercedes Benz GLK Class GLK300 4Matic ,2013,560 triệu,Lắp ráp trong nước,Đã qua sử dụng,800000,Đen,5,5,Số tự động,0,
 ô tô Toyota Hilux 2.8L 4x4 AT ,2020,835 triệu,Nhập khẩu,Đã qua sử dụng,28000,Đỏ,4,5,Số tự động,0,
 ô tô Mitsubishi Xpander 1.5 MT ,2021,468 triệu,Nhập khẩu,Đã qua sử dụng,37000,-,5,7,Số tay,0,
 ô tô Chevrolet Cruze LT 1.6L ,2017,265 triệu,Lắp ráp trong nước,Đã qua sử dụng,6800,-,4,5,Số tay,0,
 ô tô Ford Ranger XLS 2.2L 4x2 MT ,2020,458 triệu,Nhập khẩu,Đã qua sử dụng,60000,Đen,4,5,Số tay,0,
 ô tô Mercedes Benz E class E250 AMG ,2015,689 triệu,Lắp ráp trong nước,Đã qua sử dụng,110000,Đen,4,5,Số tự động,0,
 ô tô Mitsubishi Xpander 1.5 MT ,2021,470 triệu,Nhập khẩu,Đã qua sử dụng,38000,Trắng,5,7,Số tay,0,
 ô tô Kia Forte SX 1.6 AT ,2011,266 triệu,Lắp ráp trong nước,Đã qua sử dụng,12345,Đen,4,5,Số tự động,0,
 ô tô Chevrolet Cruze LTZ 1.8L ,2017,325 triệu,Lắp ráp trong nước,Đã qua sử dụng,80000,Trắng,4,5,Số tự động,0,
 ô tô Ford Everest 2.5L 4x2 MT ,2014,398 triệu,Lắp ráp trong nước,Đã qua sử dụng,88000,Trắng,5,7,Số tay,0,
 ô tô Toyota Vios 1.5E ,2017,269 triệu,Lắp ráp trong nước,Đã qua sử dụng,80966,Cát,4,5,Số tay,0,
 ô tô Kia Rio EX 1.4 AT ,2009,205 triệu,Nhập khẩu,Đã qua sử dụng,138000,Bạc,4,5,Số tự động,0,
